======================================================================
REPLIT AGENT FORENSIC SCAN
Scan time: 2026-03-27 15:21:10
Root: C:\Users\echo\Downloads\LLM\ToroidalRecursion
======================================================================

## 1. ALL REPLIT-NAMED FILES (by date)

Total: 177 files

2025-12-15 11:42 |      765 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.replit
2025-12-15 11:42 |     3952 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\replit.md
2025-12-15 11:42 |     2480 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.git\logs\refs\heads\replit-agent
2025-12-15 11:42 |       41 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.git\refs\heads\replit-agent
2025-12-15 11:42 |       41 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.git\refs\replit\agent-ledger
2025-12-15 11:42 |   106750 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_098754ea01a0d02b366389a19ba98de46a26c7e3.bin
2025-12-15 11:42 |   125714 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_0d99f12be258a477829fd286c914cf9a493dd0a6.bin
2025-12-15 11:42 |   104761 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_0e9da03c49d48bc6a34b16102d6064e8fe117743.bin
2025-12-15 11:42 |   135614 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_316bd750416fb33c4b79a5934396e1c8a35da48c.bin
2025-12-15 11:42 |   121076 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_4f4f32851fb4bbdacd0ce0448f5342e517523f62.bin
2025-12-15 11:42 |   116657 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_6962bfb561587b72638e66164b3d653535131942.bin
2025-12-15 11:42 |   116963 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_887cd6560bd2682e3b58c1981b0c5f5621374c9f.bin
2025-12-15 11:42 |   107250 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_b462dbd5e53c9742f5fe576eb1dc1a119c672211.bin
2025-12-15 11:42 |   113961 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_a45cf8f97b215be7a3f532f085358b02d4186ebb.bin
2025-12-15 11:42 |   113537 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_b4fda85f44f91bb2850c7319e94f742ad924f584.bin
2025-12-15 11:42 |   105026 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_c141803b2efcfc0f18fe3e4779e7e8a992734d2d.bin
2025-12-15 11:42 |   115373 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_c37c3126eacbacf787a6c0df0fbf1d9b0e2f9a5f.bin
2025-12-15 11:42 |   150589 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_c5b2e8d21fdf2e2264f6f1242e16bed25513376f.bin
2025-12-15 11:42 |   104223 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_da2b1578313939e4b128ed8f006ed6eb51ea8750.bin
2025-12-15 11:42 |   112290 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_e405fafe69e79c928577f6a0a3eb94c7ac41f646.bin
2025-12-15 11:42 |        0 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\rapid_build_success
2025-12-15 11:42 |       18 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.latest.json
2025-12-15 11:42 |   117005 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\.agent_state_main.bin
2025-12-15 11:42 |    15521 bytes | GOS_Core\Systems\OmegaOS\apps\Oracle-Pendulum\Oracle-Pendulum\.local\state\replit\agent\repl_state.bin
2025-12-15 11:42 |      823 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.replit
2025-12-15 11:42 |     3871 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\replit.md
2025-12-15 11:42 |     3100 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.git\logs\refs\heads\replit-agent
2025-12-15 11:42 |       41 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.git\refs\heads\replit-agent
2025-12-15 11:42 |       41 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.git\refs\replit\agent-ledger
2025-12-15 11:42 |   145984 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_08f241749e7c186b536a8d92b620eccd9cbdc9fb.bin
2025-12-15 11:42 |   109989 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_12dd63e8e17b16263e058d618c73359971c0580d.bin
2025-12-15 11:42 |   113518 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_2472ae77e528c3dd1d6dd298622f4757dac8ee27.bin
2025-12-15 11:42 |   138878 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_2699c6f517841dbc8055f708b0032b08b243942e.bin
2025-12-15 11:42 |   135121 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_277bc9500404b8d1d4e286f8c51b848513df6963.bin
2025-12-15 11:42 |   139287 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_292e6fee3307e4d92256b1592c05abdbafb04af0.bin
2025-12-15 11:42 |   146366 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_35e91fb1b625f23d411d1d1a479a74847fbedde6.bin
2025-12-15 11:42 |    95458 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_5631f798c2f97becaef407cc0e92a242fcf63405.bin
2025-12-15 11:42 |   123681 bytes | GOS_Core\Quantum\Quantum-Akashic\Quantum-Akashic\.local\state\replit\agent\.agent_state_625d0f10704724354a54d540aede31671f1b5548.bin
